	Uniprot ID	Uniprot Subcellular Location	Gene Ontology (Cellular Component)
0	Q8BUV8	Cell membrane|Multi-pass membrane protein|Golgi apparatus|Trans-Golgi network membrane|Multi-pass membrane protein	clathrin-coated vesicle|early endosome|Golgi apparatus|membrane|nucleoplasm|plasma membrane
1	P62874	Not found Uniprot Annotation	cell body|cytoplasm|dendrite|heterotrimeric G-protein complex|myelin sheath|photoreceptor inner segment|photoreceptor outer segment|photoreceptor outer segment membrane|plasma membrane
2	Q45VK7	Cytoplasm|Cytoskeleton|Cilium axoneme|Cell membrane|Peripheral membrane protein|Cytoplasm|Localizes to the apical cytoplasm (By similarity). According to PubMed:8666668, it localizes to Golgi apparatus, cytoplasmic vesicle and endoplasmic reticulum (PubMed:8666668).	9+2 motile cilium|apical part of cell|axoneme|cytoplasmic dynein complex|Golgi apparatus|microtubule|motile cilium|plasma membrane
3	P62908	Cytoplasm|Nucleus|Nucleus|Nucleolus|Mitochondrion inner membrane|Peripheral membrane protein|Cytoplasm|Cytoskeleton|Spindle|In normal cells, located mainly in the cytoplasm with small amounts in the nucleus but translocates to the nucleus in cells undergoing apoptosis. Nuclear translocation is also induced by DNA damaging agents such as hydrogen peroxide (By similarity). Accumulates in the mitochondrion in response to increased ROS levels (By similarity). Localizes to the spindle during mitosis (By similarity). Localized in cytoplasmic mRNP granules containing untranslated mRNAs (By similarity).	cytoplasm|cytosol|cytosolic small ribosomal subunit|dendrite|endoplasmic reticulum|mitochondrial inner membrane|mitochondrial matrix|mitotic spindle|NF-kappaB complex|nucleolus|nucleus|postsynapse|postsynaptic density|ribonucleoprotein complex|ribosome|ruffle membrane|synapse
4	Q8BGJ9	Isoform 1|Nucleus|Nucleus speckle|Cytoplasm|Interaction with C1QBP is required for the nuclear translocation. Displays active nucleo-cytoplasmic shuttling.	cytoplasm|nuclear speck|spliceosomal complex|U2AF complex
5	Q02257	Cell junction|Adherens junction|Cell junction|Desmosome|Cytoplasm|Cytoskeleton|Cell membrane|Peripheral membrane protein|Cytoplasm|Cell junction|Nucleus|Cytoplasmic in a soluble and membrane-associated form.	adherens junction|apicolateral plasma membrane|catenin complex|cell-cell junction|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytosol|desmosome|fascia adherens|gamma-catenin-TCF7L2 complex|intermediate filament|lateral plasma membrane|nucleus|plasma membrane|protein-DNA complex|Z disc
6	Q9CRC0	Endoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|endoplasmic reticulum membrane
7	E9Q557	Cell junction|Desmosome|Cell membrane|Localizes at the intercalated disk in cardiomyocytes.	adherens junction|basolateral plasma membrane|cell-cell junction|cornified envelope|cytoplasm|desmosome|fascia adherens|intercalated disc|intermediate filament|plasma membrane
8	Q9Z0M9	Secreted	extracellular space
9	P60894	Cell membrane|Multi-pass membrane protein|Endoplasmic reticulum	endoplasmic reticulum|plasma membrane
